Segment,Feature,FeatureOrder,ZScore,ActualValue,Customers
At Risk,Recency,1,0.391,209.0,1460
At Risk,Frequency,2,0.29,5.4,1460
At Risk,Monetary,3,0.434,2177.3,1460
Champions,Recency,1,-1.133,25.4,1114
Champions,Frequency,2,1.538,19.8,1114
Champions,Monetary,3,1.356,11230.1,1114
Hibernating,Recency,1,0.877,393.5,2041
Hibernating,Frequency,2,-0.862,1.4,2041
Hibernating,Monetary,3,-0.903,347.7,2041
New Customers,Recency,1,-0.888,28.4,1237
New Customers,Frequency,2,-0.306,3.0,1237
New Customers,Monetary,3,-0.244,837.2,1237
