CustomerID,Segment,Country,Recency,Frequency,Monetary,AvgOrderValue,InterPurchaseStd,ProductDiversity,TenureDays,Z_Recency,Z_Frequency,Z_Monetary,DistToCentroid,DistToRival,NearestRival,BoundaryMargin,Silhouette,Cohesion,IsBorderline
12346,At Risk,United Kingdom,326,3,77352.96,25784.32,43.0,25,321,0.861,-0.199,3.202,2.85,3.225,Champions,0.469,0.13,Borderline,1
12347,Champions,Iceland,2,8,5633.32,704.16,17.6,126,402,-2.15,0.805,1.308,1.255,2.288,New Customers,0.354,0.33,Settled,0
12348,At Risk,Finland,75,5,1658.4,331.68,49.7,24,362,-0.076,0.303,0.424,0.467,1.215,New Customers,0.278,0.38,Settled,0
12349,New Customers,Italy,19,3,3678.69,1226.23,103.5,137,570,-0.933,-0.199,1.0,1.249,1.52,At Risk,0.451,0.124,Borderline,1
12350,Hibernating,Norway,310,1,294.4,294.4,,16,0,0.829,-1.057,-0.824,0.216,1.895,At Risk,0.102,0.641,Core,0
12351,Hibernating,Unspecified,375,1,300.93,300.93,,21,0,0.951,-1.057,-0.808,0.229,1.916,At Risk,0.107,0.649,Core,0
12352,At Risk,Norway,36,9,1729.54,192.17,56.6,68,356,-0.538,0.935,0.454,1.131,1.238,Champions,0.477,0.119,Borderline,1
12353,Hibernating,Bahrain,204,2,406.76,203.38,,23,204,0.561,-0.555,-0.591,0.539,1.339,At Risk,0.287,0.422,Settled,0
12354,Hibernating,Spain,232,1,1079.4,1079.4,,58,0,0.643,-1.057,0.114,1.061,1.408,At Risk,0.43,0.221,Borderline,1
12355,At Risk,Bahrain,214,2,947.61,473.8,,35,353,0.592,-0.555,0.02,0.963,1.013,Hibernating,0.487,-0.008,Borderline,1
12356,Champions,Portugal,23,6,5613.68,935.61,74.8,103,401,-0.815,0.494,1.305,1.093,1.502,At Risk,0.421,0.136,Borderline,1
12357,At Risk,Switzerland,33,2,17437.66,8718.83,,260,355,-0.592,-0.555,2.125,2.131,2.295,Champions,0.481,0.096,Borderline,1
12358,Champions,Austria,2,5,3447.07,689.41,27.3,55,730,-2.15,0.303,0.953,1.65,1.843,New Customers,0.472,0.043,Borderline,1
12359,Champions,Cyprus,58,10,8935.94,893.59,43.4,305,676,-0.238,1.053,1.641,1.057,1.561,At Risk,0.404,0.159,Borderline,1
12360,At Risk,Austria,52,6,3612.89,602.15,51.4,159,603,-0.307,0.494,0.987,0.913,1.382,Champions,0.398,0.286,Settled,0
12361,Hibernating,Belgium,287,4,451.25,112.81,31.2,17,394,0.779,0.077,-0.516,1.02,1.048,At Risk,0.493,0.03,Borderline,1
12362,Champions,Belgium,3,10,4737.23,473.72,24.3,200,292,-1.966,1.053,1.182,0.979,2.246,New Customers,0.304,0.406,Settled,0
12363,Hibernating,Unspecified,110,2,552.0,276.0,,23,132,0.167,-0.555,-0.371,0.938,1.092,New Customers,0.462,0.132,Borderline,1
12364,New Customers,Belgium,8,4,1208.1,302.02,2.2,69,104,-1.445,0.077,0.195,0.806,1.863,At Risk,0.302,0.431,Settled,0
12365,Hibernating,Cyprus,291,1,320.69,320.69,,21,0,0.788,-1.057,-0.762,0.257,1.845,At Risk,0.122,0.626,Core,0
12366,Hibernating,Cyprus,634,1,500.24,500.24,,3,0,1.287,-1.057,-0.442,0.647,1.84,At Risk,0.26,0.539,Core,0
12367,New Customers,Denmark,4,1,150.9,150.9,,10,0,-1.822,-1.057,-1.305,1.601,2.736,Hibernating,0.369,0.366,Settled,0
12368,Hibernating,Cyprus,628,1,917.7,917.7,,18,0,1.281,-1.057,-0.004,1.005,1.673,At Risk,0.375,0.352,Settled,0
12369,At Risk,Austria,413,3,1511.15,503.72,78.0,89,228,1.012,-0.199,0.357,0.795,1.429,Hibernating,0.357,0.311,Settled,0
12370,At Risk,Cyprus,51,7,3960.31,565.76,103.9,167,617,-0.319,0.659,1.053,1.012,1.236,Champions,0.45,0.184,Borderline,1
12371,At Risk,Switzerland,60,4,3347.38,836.84,145.8,133,585,-0.217,0.077,0.931,0.814,1.407,New Customers,0.366,0.306,Settled,0
12372,At Risk,Denmark,72,3,1196.04,398.68,28.5,33,224,-0.102,-0.199,0.188,0.736,0.903,New Customers,0.449,0.119,Borderline,1
12373,At Risk,Austria,311,3,927.65,309.22,132.0,35,362,0.831,-0.199,0.004,0.786,1.124,Hibernating,0.411,0.183,Borderline,1
12374,New Customers,Austria,25,3,2669.22,889.74,114.5,78,563,-0.764,-0.199,0.768,1.025,1.298,At Risk,0.441,0.131,Borderline,1
12375,New Customers,Finland,11,2,377.5,188.75,,13,87,-1.26,-0.555,-0.645,0.601,2.146,At Risk,0.219,0.536,Core,0
12376,Hibernating,Switzerland,390,2,383.15,191.58,,10,28,0.976,-0.555,-0.634,0.419,1.482,At Risk,0.22,0.516,Core,0
12377,At Risk,Switzerland,315,4,3266.32,816.58,82.6,128,274,0.839,0.077,0.914,0.69,2.045,Hibernating,0.252,0.507,Core,0
12378,At Risk,Switzerland,130,2,5416.32,2708.16,,281,432,0.274,-0.555,1.279,1.201,1.932,New Customers,0.383,0.311,Settled,0
12379,At Risk,Belgium,82,4,1470.22,367.56,72.0,57,452,-0.019,0.077,0.337,0.472,1.113,New Customers,0.298,0.337,Settled,0
12380,Champions,Belgium,22,8,7210.65,901.33,88.5,154,640,-0.843,0.805,1.486,0.8,1.701,At Risk,0.32,0.311,Settled,0
12381,New Customers,Norway,5,3,1474.81,491.6,28.5,69,115,-1.705,-0.199,0.339,1.009,2.093,Champions,0.325,0.427,Settled,0
12383,At Risk,Belgium,185,5,1628.56,325.71,16.2,83,167,0.499,0.303,0.411,0.111,1.65,New Customers,0.063,0.562,Core,0
12384,New Customers,Switzerland,29,2,425.27,212.64,,25,92,-0.672,-0.555,-0.559,0.456,1.617,Hibernating,0.22,0.462,Settled,0
12385,Hibernating,Belgium,379,1,1668.4,1668.4,,64,0,0.957,-1.057,0.428,1.348,1.462,At Risk,0.48,0.096,Borderline,1
12386,Hibernating,Australia,338,2,660.8,330.4,,10,29,0.884,-0.555,-0.241,0.729,1.189,At Risk,0.38,0.301,Settled,0
12387,Hibernating,Australia,415,1,143.94,143.94,,9,0,1.015,-1.057,-1.339,0.498,2.313,At Risk,0.177,0.66,Core,0
12388,Champions,Australia,16,8,3901.11,487.64,43.8,83,566,-1.037,0.805,1.042,0.804,1.635,At Risk,0.33,0.313,Settled,0
12389,At Risk,Australia,403,3,1433.33,477.78,38.5,41,253,0.997,-0.199,0.318,0.787,1.394,Hibernating,0.361,0.302,Settled,0
12390,Hibernating,Belgium,80,1,504.84,504.84,,31,0,-0.035,-1.057,-0.435,1.043,1.153,New Customers,0.475,0.092,Borderline,1
12391,Champions,Cyprus,22,6,2773.42,462.24,164.4,241,641,-0.843,0.494,0.795,1.221,1.302,At Risk,0.484,-0.007,Borderline,1
12392,Hibernating,Australia,591,1,234.75,234.75,,7,0,1.242,-1.057,-0.987,0.422,2.135,At Risk,0.165,0.655,Core,0
12393,At Risk,Australia,72,6,2399.45,399.91,57.0,63,356,-0.102,0.494,0.691,0.592,1.46,New Customers,0.288,0.423,Settled,0
12394,New Customers,Belgium,64,2,1080.48,540.24,,25,153,-0.176,-0.555,0.114,0.835,1.067,At Risk,0.439,0.12,Borderline,1
12395,Champions,Belgium,19,15,4551.27,303.42,28.7,144,583,-0.933,1.517,1.154,0.286,1.943,At Risk,0.128,0.484,Settled,0
12396,Hibernating,RSA,674,1,931.43,931.43,,65,0,1.326,-1.057,0.007,1.033,1.695,At Risk,0.379,0.345,Settled,0
12397,New Customers,Belgium,36,2,2214.9,1107.45,,109,99,-0.538,-0.555,0.633,0.977,1.271,At Risk,0.434,0.139,Borderline,1
12398,New Customers,Switzerland,46,1,1435.66,1435.66,,84,0,-0.384,-1.057,0.32,1.066,1.558,At Risk,0.406,0.224,Borderline,1
12399,At Risk,Belgium,119,7,1842.3,263.19,41.5,66,525,0.218,0.659,0.5,0.413,1.645,New Customers,0.201,0.517,Core,0
12400,Hibernating,Australia,414,1,205.25,205.25,,11,0,1.014,-1.057,-1.084,0.3,2.123,At Risk,0.124,0.671,Core,0
12401,Hibernating,Belgium,303,1,69.3,69.3,,4,0,0.814,-1.057,-1.862,0.981,2.466,New Customers,0.285,0.547,Core,0
12402,At Risk,Belgium,323,6,1136.9,189.48,6.7,42,347,0.855,0.494,0.151,0.581,1.717,Hibernating,0.253,0.479,Settled,0
12403,New Customers,Denmark,50,2,947.36,473.68,,4,471,-0.332,-0.555,0.019,0.664,1.187,At Risk,0.359,0.26,Settled,0
12405,Hibernating,Finland,149,1,1390.39,1390.39,,53,0,0.361,-1.057,0.296,1.32,1.355,At Risk,0.494,0.051,Borderline,1
12406,Champions,Denmark,22,5,6390.36,1278.07,43.8,114,675,-0.843,0.303,1.399,1.27,1.566,At Risk,0.448,0.084,Borderline,1
12407,At Risk,Belgium,50,5,1507.12,301.42,28.4,56,214,-0.332,0.303,0.355,0.727,1.019,New Customers,0.416,0.191,Borderline,1
12408,Champions,Belgium,33,8,3905.77,488.22,35.1,103,465,-0.592,0.805,1.043,0.964,1.266,At Risk,0.432,0.09,Borderline,1
12409,Champions,Switzerland,79,7,23419.29,3345.61,81.2,177,486,-0.043,0.659,2.338,1.711,1.987,At Risk,0.463,0.056,Borderline,1
12410,At Risk,Switzerland,309,3,773.71,257.9,97.0,35,193,0.827,-0.199,-0.127,0.862,1.021,Hibernating,0.458,0.08,Borderline,1
12411,Hibernating,Australia,410,1,346.9,346.9,,22,0,1.008,-1.057,-0.706,0.307,1.869,At Risk,0.141,0.632,Core,0
12412,At Risk,Denmark,75,6,2404.93,400.82,72.1,81,464,-0.076,0.494,0.692,0.571,1.475,New Customers,0.279,0.433,Settled,0
12413,At Risk,France,67,4,871.45,217.86,43.6,40,335,-0.147,0.077,-0.041,0.748,0.858,New Customers,0.466,0.092,Borderline,1
