CustomerID,Segment,Recency,Frequency,Monetary,AvgOrderValue,InterPurchaseStd,ProductDiversity,TenureDays,Country
12346,At Risk,326,3,77352.96,25784.32,43.0,25,321,United Kingdom
12347,Champions,2,8,5633.32,704.16,17.6,126,402,Iceland
12348,At Risk,75,5,1658.4,331.68,49.7,24,362,Finland
12349,New Customers,19,3,3678.69,1226.23,103.5,137,570,Italy
12350,Hibernating,310,1,294.4,294.4,,16,0,Norway
12351,Hibernating,375,1,300.93,300.93,,21,0,Unspecified
12352,At Risk,36,9,1729.54,192.17,56.6,68,356,Norway
12353,Hibernating,204,2,406.76,203.38,,23,204,Bahrain
12354,Hibernating,232,1,1079.4,1079.4,,58,0,Spain
12355,At Risk,214,2,947.61,473.8,,35,353,Bahrain
12356,Champions,23,6,5613.68,935.61,74.8,103,401,Portugal
12357,At Risk,33,2,17437.66,8718.83,,260,355,Switzerland
12358,Champions,2,5,3447.07,689.41,27.3,55,730,Austria
12359,Champions,58,10,8935.94,893.59,43.4,305,676,Cyprus
12360,At Risk,52,6,3612.89,602.15,51.4,159,603,Austria
12361,Hibernating,287,4,451.25,112.81,31.2,17,394,Belgium
12362,Champions,3,10,4737.23,473.72,24.3,200,292,Belgium
12363,Hibernating,110,2,552.0,276.0,,23,132,Unspecified
12364,New Customers,8,4,1208.1,302.02,2.2,69,104,Belgium
12365,Hibernating,291,1,320.69,320.69,,21,0,Cyprus
12366,Hibernating,634,1,500.24,500.24,,3,0,Cyprus
12367,New Customers,4,1,150.9,150.9,,10,0,Denmark
12368,Hibernating,628,1,917.7,917.7,,18,0,Cyprus
12369,At Risk,413,3,1511.15,503.72,78.0,89,228,Austria
12370,At Risk,51,7,3960.31,565.76,103.9,167,617,Cyprus
12371,At Risk,60,4,3347.38,836.84,145.8,133,585,Switzerland
12372,At Risk,72,3,1196.04,398.68,28.5,33,224,Denmark
12373,At Risk,311,3,927.65,309.22,132.0,35,362,Austria
12374,New Customers,25,3,2669.22,889.74,114.5,78,563,Austria
12375,New Customers,11,2,377.5,188.75,,13,87,Finland
12376,Hibernating,390,2,383.15,191.58,,10,28,Switzerland
12377,At Risk,315,4,3266.32,816.58,82.6,128,274,Switzerland
12378,At Risk,130,2,5416.32,2708.16,,281,432,Switzerland
12379,At Risk,82,4,1470.22,367.56,72.0,57,452,Belgium
12380,Champions,22,8,7210.65,901.33,88.5,154,640,Belgium
12381,New Customers,5,3,1474.81,491.6,28.5,69,115,Norway
12383,At Risk,185,5,1628.56,325.71,16.2,83,167,Belgium
12384,New Customers,29,2,425.27,212.64,,25,92,Switzerland
12385,Hibernating,379,1,1668.4,1668.4,,64,0,Belgium
12386,Hibernating,338,2,660.8,330.4,,10,29,Australia
12387,Hibernating,415,1,143.94,143.94,,9,0,Australia
12388,Champions,16,8,3901.11,487.64,43.8,83,566,Australia
12389,At Risk,403,3,1433.33,477.78,38.5,41,253,Australia
12390,Hibernating,80,1,504.84,504.84,,31,0,Belgium
12391,Champions,22,6,2773.42,462.24,164.4,241,641,Cyprus
12392,Hibernating,591,1,234.75,234.75,,7,0,Australia
12393,At Risk,72,6,2399.45,399.91,57.0,63,356,Australia
12394,New Customers,64,2,1080.48,540.24,,25,153,Belgium
12395,Champions,19,15,4551.27,303.42,28.7,144,583,Belgium
12396,Hibernating,674,1,931.43,931.43,,65,0,RSA
12397,New Customers,36,2,2214.9,1107.45,,109,99,Belgium
12398,New Customers,46,1,1435.66,1435.66,,84,0,Switzerland
12399,At Risk,119,7,1842.3,263.19,41.5,66,525,Belgium
12400,Hibernating,414,1,205.25,205.25,,11,0,Australia
